,Age,Breed_type,Sex,Country,Total
73,,Non Dairy,F,Czech_republic,0
74,,,M,Czech_republic,0
75,36 to 48,Dairy,F,Czech_republic,0
76,,,M,Czech_republic,0
77,,Non Dairy,F,Czech_republic,0
78,,,M,Czech_republic,0
79,48 to 60,Dairy,F,Czech_republic,0
80,,Non Dairy,F,Czech_republic,0
81,,,M,Czech_republic,0
82,60 to 72,Dairy,F,Czech_republic,0
83,,Non Dairy,F,Czech_republic,0
84,,,M,Czech_republic,0
85,72 and Over,Dairy,F,Czech_republic,0
86,,Non Dairy,F,Czech_republic,0
87,,,M,Czech_republic,0
88,Under 1,Non Dairy,F,Denmark,0
89,,,M,Denmark,0
90,1 to 2,Non Dairy,F,Denmark,0
91,,,M,Denmark,0
92,2 to 3,Dairy,M,Denmark,0
93,,Non Dairy,F,Denmark,0
94,,,M,Denmark,0
95,3 to 4,Dairy,M,Denmark,0
96,,Non Dairy,F,Denmark,0
97,,,M,Denmark,0
98,4 to 5,Dairy,M,Denmark,0
99,,Non Dairy,F,Denmark,0
100,,,M,Denmark,0
101,5 to 6,Dairy,M,Denmark,0
102,,Non Dairy,F,Denmark,0
103,,,M,Denmark,0
104,6 to 12,Dairy,F,Denmark,0
105,,,M,Denmark,0
106,,Non Dairy,F,Denmark,0
107,,,M,Denmark,0
108,12 to 24,Dairy,F,Denmark,40
109,,,M,Denmark,0
110,,Non Dairy,F,Denmark,0
111,,,M,Denmark,0
112,24 to 30,Dairy,F,Denmark,0
113,,,M,Denmark,0
114,,Non Dairy,F,Denmark,0
115,,,M,Denmark,0
116,30 to 36,Dairy,F,Denmark,0
117,,Non Dairy,F,Denmark,0
118,,,M,Denmark,0
119,36 to 48,Dairy,F,Denmark,0
120,,,M,Denmark,0
121,,Non Dairy,F,Denmark,0
122,,,M,Denmark,1
123,48 to 60,Dairy,F,Denmark,0
124,,Non Dairy,F,Denmark,0
125,,,M,Denmark,0
126,60 to 72,Dairy,F,Denmark,0
127,,Non Dairy,F,Denmark,0
128,,,M,Denmark,0
129,72 and Over,Dairy,F,Denmark,0
130,,Non Dairy,F,Denmark,0
131,,,M,Denmark,0
132,Under 1,Non Dairy,F,France,0
133,,,M,France,0
134,1 to 2,Non Dairy,F,France,0
135,,,M,France,0
136,2 to 3,Dairy,M,France,0
137,,Non Dairy,F,France,0
138,,,M,France,0
139,3 to 4,Dairy,M,France,0
140,,Non Dairy,F,France,0
141,,,M,France,0
142,4 to 5,Dairy,M,France,0
143,,Non Dairy,F,France,0
144,,,M,France,0
145,5 to 6,Dairy,M,France,0
146,,Non Dairy,F,France,0
147,,,M,France,0
148,6 to 12,Dairy,F,France,0
149,,,M,France,0
150,,Non Dairy,F,France,0
151,,,M,France,0
152,12 to 24,Dairy,F,France,2
153,,,M,France,0
154,,Non Dairy,F,France,0
155,,,M,France,2
156,24 to 30,Dairy,F,France,11
157,,,M,France,0
158,,Non Dairy,F,France,0
159,,,M,France,0
160,30 to 36,Dairy,F,France,15
161,,Non Dairy,F,France,0
162,,,M,France,0
163,36 to 48,Dairy,F,France,24
164,,,M,France,0
165,,Non Dairy,F,France,0
166,,,M,France,0
167,48 to 60,Dairy,F,France,14
168,,Non Dairy,F,France,0
169,,,M,France,0
170,60 to 72,Dairy,F,France,18
171,,Non Dairy,F,France,0
172,,,M,France,0
173,72 and Over,Dairy,F,France,15
174,,Non Dairy,F,France,0
175,,,M,France,0
176,Under 1,Non Dairy,F,Germany,0
177,,,M,Germany,0
178,1 to 2,Non Dairy,F,Germany,0
179,,,M,Germany,0
180,2 to 3,Dairy,M,Germany,0
181,,Non Dairy,F,Germany,0
182,,,M,Germany,0
183,3 to 4,Dairy,M,Germany,0
184,,Non Dairy,F,Germany,0
185,,,M,Germany,0
186,4 to 5,Dairy,M,Germany,0
187,,Non Dairy,F,Germany,0
188,,,M,Germany,0
189,5 to 6,Dairy,M,Germany,0
190,,Non Dairy,F,Germany,0
191,,,M,Germany,0
192,6 to 12,Dairy,F,Germany,0
193,,,M,Germany,0
194,,Non Dairy,F,Germany,0
195,,,M,Germany,0
196,12 to 24,Dairy,F,Germany,6
197,,,M,Germany,0
198,,Non Dairy,F,Germany,0
199,,,M,Germany,0
200,24 to 30,Dairy,F,Germany,147
201,,,M,Germany,0
202,,Non Dairy,F,Germany,0
203,,,M,Germany,0
204,30 to 36,Dairy,F,Germany,29
205,,Non Dairy,F,Germany,0
206,,,M,Germany,0
207,36 to 48,Dairy,F,Germany,9
208,,,M,Germany,0
209,,Non Dairy,F,Germany,0
210,,,M,Germany,0
211,48 to 60,Dairy,F,Germany,1
212,,Non Dairy,F,Germany,0
213,,,M,Germany,0
214,60 to 72,Dairy,F,Germany,0
215,,Non Dairy,F,Germany,0
216,,,M,Germany,0
217,72 and Over,Dairy,F,Germany,0
218,,Non Dairy,F,Germany,0
219,,,M,Germany,0
220,Under 1,Non Dairy,F,Ireland,24
221,,,M,Ireland,0
222,1 to 2,Non Dairy,F,Ireland,18
223,,,M,Ireland,0
224,2 to 3,Dairy,M,Ireland,0
225,,Non Dairy,F,Ireland,0
226,,,M,Ireland,0
227,3 to 4,Dairy,M,Ireland,0
228,,Non Dairy,F,Ireland,0
229,,,M,Ireland,0
230,4 to 5,Dairy,M,Ireland,0
231,,Non Dairy,F,Ireland,0
232,,,M,Ireland,0
233,5 to 6,Dairy,M,Ireland,0
234,,Non Dairy,F,Ireland,0
235,,,M,Ireland,0
236,6 to 12,Dairy,F,Ireland,4
237,,,M,Ireland,0
238,,Non Dairy,F,Ireland,0
239,,,M,Ireland,0
240,12 to 24,Dairy,F,Ireland,122
241,,,M,Ireland,11
242,,Non Dairy,F,Ireland,29
243,,,M,Ireland,3
244,24 to 30,Dairy,F,Ireland,12
245,,,M,Ireland,1
246,,Non Dairy,F,Ireland,21
247,,,M,Ireland,0
248,30 to 36,Dairy,F,Ireland,1
249,,Non Dairy,F,Ireland,2
250,,,M,Ireland,0
251,36 to 48,Dairy,F,Ireland,11
252,,,M,Ireland,0
253,,Non Dairy,F,Ireland,0
254,,,M,Ireland,0
255,48 to 60,Dairy,F,Ireland,6
256,,Non Dairy,F,Ireland,0
257,,,M,Ireland,0
258,60 to 72,Dairy,F,Ireland,6
259,,Non Dairy,F,Ireland,0
260,,,M,Ireland,0
261,72 and Over,Dairy,F,Ireland,3
262,,Non Dairy,F,Ireland,0
263,,,M,Ireland,0
264,Under 1,Non Dairy,F,Netherlands,0
265,,,M,Netherlands,0
266,1 to 2,Non Dairy,F,Netherlands,0
267,,,M,Netherlands,0
268,2 to 3,Dairy,M,Netherlands,0
269,,Non Dairy,F,Netherlands,0
270,,,M,Netherlands,0
271,3 to 4,Dairy,M,Netherlands,0
272,,Non Dairy,F,Netherlands,0
273,,,M,Netherlands,0
274,4 to 5,Dairy,M,Netherlands,2
275,,Non Dairy,F,Netherlands,0
276,,,M,Netherlands,0
277,5 to 6,Dairy,M,Netherlands,0
278,,Non Dairy,F,Netherlands,0
279,,,M,Netherlands,0
280,6 to 12,Dairy,F,Netherlands,7
281,,,M,Netherlands,5
282,,Non Dairy,F,Netherlands,0
283,,,M,Netherlands,0
284,12 to 24,Dairy,F,Netherlands,138
285,,,M,Netherlands,1
286,,Non Dairy,F,Netherlands,0
287,,,M,Netherlands,0
288,24 to 30,Dairy,F,Netherlands,155
289,,,M,Netherlands,0
290,,Non Dairy,F,Netherlands,1
291,,,M,Netherlands,0
292,30 to 36,Dairy,F,Netherlands,21
293,,Non Dairy,F,Netherlands,0
294,,,M,Netherlands,0
295,36 to 48,Dairy,F,Netherlands,4
296,,,M,Netherlands,0
297,,Non Dairy,F,Netherlands,0
298,,,M,Netherlands,1
299,48 to 60,Dairy,F,Netherlands,0
300,,Non Dairy,F,Netherlands,0
301,,,M,Netherlands,0
302,60 to 72,Dairy,F,Netherlands,0
303,,Non Dairy,F,Netherlands,0
304,,,M,Netherlands,0
305,72 and Over,Dairy,F,Netherlands,0
306,,Non Dairy,F,Netherlands,0
307,,,M,Netherlands,0
308,Under 1,Non Dairy,F,Northern_ireland,2
309,,,M,Northern_ireland,1
310,1 to 2,Non Dairy,F,Northern_ireland,0
311,,,M,Northern_ireland,1
312,2 to 3,Dairy,M,Northern_ireland,14
313,,Non Dairy,F,Northern_ireland,1
314,,,M,Northern_ireland,0
315,3 to 4,Dairy,M,Northern_ireland,45
316,,Non Dairy,F,Northern_ireland,0
317,,,M,Northern_ireland,1
318,4 to 5,Dairy,M,Northern_ireland,15
319,,Non Dairy,F,Northern_ireland,3
320,,,M,Northern_ireland,0
321,5 to 6,Dairy,M,Northern_ireland,16
322,,Non Dairy,F,Northern_ireland,1
323,,,M,Northern_ireland,1
324,6 to 12,Dairy,F,Northern_ireland,2
325,,,M,Northern_ireland,12
326,,Non Dairy,F,Northern_ireland,12
327,,,M,Northern_ireland,5
328,12 to 24,Dairy,F,Northern_ireland,5
329,,,M,Northern_ireland,13
330,,Non Dairy,F,Northern_ireland,171
331,,,M,Northern_ireland,525
332,24 to 30,Dairy,F,Northern_ireland,39
333,,,M,Northern_ireland,22
334,,Non Dairy,F,Northern_ireland,141
335,,,M,Northern_ireland,385
336,30 to 36,Dairy,F,Northern_ireland,15
337,,Non Dairy,F,Northern_ireland,23
338,,,M,Northern_ireland,30
339,36 to 48,Dairy,F,Northern_ireland,20
340,,,M,Northern_ireland,1
341,,Non Dairy,F,Northern_ireland,8
342,,,M,Northern_ireland,4
343,48 to 60,Dairy,F,Northern_ireland,10
344,,Non Dairy,F,Northern_ireland,12
345,,,M,Northern_ireland,1
346,60 to 72,Dairy,F,Northern_ireland,4
347,,Non Dairy,F,Northern_ireland,4
348,,,M,Northern_ireland,0
349,72 and Over,Dairy,F,Northern_ireland,4
350,,Non Dairy,F,Northern_ireland,12
351,,,M,Northern_ireland,1
352,Under 1,Non Dairy,F,Sweden,0
353,,,M,Sweden,0
354,1 to 2,Non Dairy,F,Sweden,0
355,,,M,Sweden,0
356,2 to 3,Dairy,M,Sweden,0
357,,Non Dairy,F,Sweden,0
358,,,M,Sweden,0
359,3 to 4,Dairy,M,Sweden,0
360,,Non Dairy,F,Sweden,0
361,,,M,Sweden,0
362,4 to 5,Dairy,M,Sweden,0
363,,Non Dairy,F,Sweden,0
364,,,M,Sweden,0
365,5 to 6,Dairy,M,Sweden,0
366,,Non Dairy,F,Sweden,0
367,,,M,Sweden,0
368,6 to 12,Dairy,F,Sweden,1
369,,,M,Sweden,0
370,,Non Dairy,F,Sweden,0
371,,,M,Sweden,0
372,12 to 24,Dairy,F,Sweden,25
373,,,M,Sweden,0
374,,Non Dairy,F,Sweden,0
375,,,M,Sweden,0
376,24 to 30,Dairy,F,Sweden,7
377,,,M,Sweden,0
378,,Non Dairy,F,Sweden,0
379,,,M,Sweden,0
380,30 to 36,Dairy,F,Sweden,0
381,,Non Dairy,F,Sweden,0
382,,,M,Sweden,0
383,36 to 48,Dairy,F,Sweden,1
384,,,M,Sweden,0
385,,Non Dairy,F,Sweden,0
386,,,M,Sweden,0
387,48 to 60,Dairy,F,Sweden,0
388,,Non Dairy,F,Sweden,0
389,,,M,Sweden,0
390,60 to 72,Dairy,F,Sweden,0
391,,Non Dairy,F,Sweden,0
392,,,M,Sweden,0
393,72 and Over,Dairy,F,Sweden,0
394,,Non Dairy,F,Sweden,0
395,,,M,Sweden,0
